nome_fantasia,razao_social,cep,lat,long,bairro,endereco
' BAR DO TELAO ',ELIZEU C. NUNES RESTAURANTE,50060110,-8.0624461,-34.8840019,BOA VISTA,"RUA MARTINS JUNIOR, 31"
' O REI DO ARRUMADINHO ',J. R. SIFRONIO O REI DO ARRUMADINHO,52130547,-8.0079872,-34.8901756,PORTO DA MADEIRA,"AVENIDA BEBERIBE, 3547"
' ZERO UM VIP ',FERNANDO JOSE PARA MOREIRA DE SOUZA FILHO,50030020,-8.0643543,-34.8733466,RECIFE,"RUA TOMAZINA, 129"
******,VB RECIFE COMERCIO LTDA,51210010,-8.1338268,-34.916994,IBURA,"PRACA MINISTRO SALGADO FILHO, S/N"
******,ST. MICHEL COMERCIO VAREJISTA DE ALIMENTOS LTDA,51210010,-8.1338268,-34.916994,IBURA,"PRACA MINISTRO SALGADO FILHO, S/N"
******,DAKAR PRODUCAO E COMERCIO DE ALIMENTOS LTDA,51210010,-8.1338268,-34.916994,IBURA,"PRACA MINISTRO SALGADO FILHO, S/N"
********,OUTBACK STEAKHOUSE RESTAURANTES BRASIL S.A.,50110000,-8.0380464,-34.8719356,SANTO AMARO,"AVENIDA GOVERNADOR AGAMENON MAGALHAES, 153"
.............,DDK RESTAURANTE PIZZARIA LTDA,51240490,-8.1213547,-34.9345135,IBURA,"RUA EMILIO MONTEIRO FONSECA, 441"
100% BRASIL,R.P. BAR E RESTAURANTE LTDA,50050030,-8.0603544,-34.8830603,BOA VISTA,"RUA SETE DE SETEMBRO, 307"
152 CAFE - COMEDORIA,COMERCIO E SERVICOS DE RESTAURANTE LTDA.,52011010,-8.050649,-34.9032196,GRACAS,"RUA DAS PERNAMBUCANAS, 152"
2B FOOD,2B RESTAURANTES E CAFETERIAS LTDA,51200010,-8.1070568,-34.9125428,IMBIRIBEIRA,"RUA IZABEL DE SOUZA, 190"
404 HAMBURGUERIA,404 HAMBURGUERIA LTDA,52051010,-8.0304756,-34.9004065,TAMARINEIRA,"RUA SILVEIRA LIRA, 102"
A & R PIZZARIA,RENATO PEREIRA DA SILVA,51190120,-8.1149107,-34.9228071,IPSEP,"AVENIDA COSTA E SILVA, 65"
A B FOOD E DRIVE,A B FOOD E DRIVE LTDA,50781620,-8.0851994,-34.9381248,JARDIM SAO PAULO,"RUA APENINOS, 16"
A PORTEIRA,A PORTEIRA BAR E RESTAURANTE LTDA,52041065,-8.0351933,-34.8995495,ROSARINHO,"RUA DOUTOR JOSE MARIA, 804"
A TOCA CHURRASCARIA,TRES AMIGOS GASTRONOMIA LTDA,50790640,-7.5617238,-34.9952357,CURADO,"RODOVIA BR CENTO E UM, 550"
A TOCA DA GENTE,PINTO E SILVA RESTAURANTE LTDA,50070345,-8.0636672,-34.8895638,BOA VISTA,"RUA VISCONDE DE GOIANA, 55"
A TOCA DO COELHO,TERESA PEREIRA DOS SANTOS,50750380,-8.0629962,-34.9048608,MADALENA,"RUA JOAO ELISIO RAMOS, 210"
A2 FAST FOOD LTDA,A2 FAST FOOD LTDA,50760320,-8.0720164,-34.9183324,MUSTARDINHA,"LARGO DA MUSTARDINHA, 19"
ACABIDELA,ADILSON JOSE RODRIGUES DE FRANCA,50800420,-7.5617238,-34.9952357,IPUTINGA,"RUA FLOREAL, 135"
ACAI NA MADRUGA LTDA,ACAI NA MADRUGA LTDA,51021330,-8.1244571,-34.900486,BOA VIAGEM,"RUA ERNESTO DE PAULA SANTOS, 360"
ACCIO PIZZA,ACCIO PIZZARIA LTDA,50720715,-8.0589311,-34.9073874,MADALENA,"ESTRADA DOS REMEDIOS, 2401"
ACONCHEGO DO CEASA,E J DA SILVA RESTAURANTE LTDA,50790640,-7.5617238,-34.9952357,CURADO,"RODOVIA BR CENTO E UM, 550"
ADEGA DO FUTURO,ADEGA DO FUTURO RESTAURANTE LTDA,52050005,-8.0393964,-34.9009797,GRACAS,"RUA DO FUTURO, 634"
ADEGA MGF,M G F COMERCIO DISTRIBUICAO LTDA,52041095,-8.0363844,-34.8977005,ENCRUZILHADA,"AVENIDA SANTOS DUMONT, 558"
ADELE COZINHA LIBANESA MEDITERRANEA,J P M A CESAR LTDA,51030010,-8.143353,-34.9054144,BOA VIAGEM,"RUA SETUBAL, 1226"
AERO LANCHES,NATALI CRISTINA CAMPOS DA SILVA,50070615,-7.5617238,-34.9952357,BOA VISTA,"RUA DOS COELHOS, 361"
AGRIDOCE,A M T DE SIQUEIRA,50070290,-8.0600913,-34.8928747,BOA VISTA,"RUA DOS MEDICIS, 115"
AIKA SUSHI,SUSHI SAN AIKA LTDA,51011180,-8.0941881,-34.883186,PINA,"RUA ONDINA, 51"
AKI ALIMENTACAO,"AKI ALIMENTACAO, RESTAURANTES E CAFETERIAS LTDA",51200010,-8.1070568,-34.9125428,IMBIRIBEIRA,"RUA IZABEL DE SOUZA, 190"
AKIRA,AKIRA COZINHA JAPONESA LTDA,51020300,-8.1206851,-34.8971108,BOA VIAGEM,"RUA WILFRID RUSSEL SHORTO, 90"
ALECRIM SELF SERVICE E A LA CARTE,R H DOS SANTOS MOURA,51110250,-8.0875089,-34.8942908,PINA,"RUA HENRIQUETA TORREIRO, 18"
ALEGRATO GOURMET,ARTEGENTE EMPREENDIMENTOS LTDA,52011010,-8.050649,-34.9032196,GRACAS,"RUA DAS PERNAMBUCANAS, 152"
ALENTEJO,"ALENTEJO BAR, RESTAURANTES E ENTRETENIMENTOS LTDA",52011040,-8.0506478,-34.897402,GRACAS,"AVENIDA RUI BARBOSA, 458"
ALGO MAIS REFEICOES,CARVALHEIRA REFEICOES LTDA,50740300,-8.0463409,-34.9556969,VARZEA,"AVENIDA PROF ARTUR DE SA, 570"
ALHO & OLEO,RESTAURANTE ALHO & OLEO LTDA,50761000,-8.06768,-34.9280441,SAN MARTIN,"AVENIDA GENERAL SAN MARTIN, 1880"
ALPHA REFEICOES,D E J ALIMENTOS LTDA,50020055,-8.0699073,-34.8833359,SAO JOSE,"RUA DA CONCORDIA, 732"
AME,COMBAT LTDA,51011010,-8.092399,-34.8835937,PINA,"RUA CAPITAO REBELINHO, 166"
ANTIQUARIOS,ANDRE LUIZ CERQUEIRA DE OLIVEIRA BAR & RESTAURANTE,52011070,-8.04571,-34.897698,GRACAS,"RUA DO CUPIM, 250"
APIPUCOS RESTAURANTE,APIPUCOS ALIMENTOS LTDA.,51020280,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
ARENA56,ARENA56 LTDA,50770300,-8.0819304,-34.9068128,AFOGADOS,"RUA FRANCISCO UCHOA, 50"
ARMAZEM CENTRAL,ARMAZEM CENTRAL NAVEGANTES LTDA,51020180,-8.1136223,-34.8918316,BOA VIAGEM,"RUA PROFESSOR JOSE BRANDAO, 77"
ARMAZEM RIO BRANCO,ARMAZEM RIO BRANCO RESTAURANTE LTDA,50030310,-8.0628857,-34.8729563,RECIFE,"AVENIDA RIO BRANCO, 155"
ARMAZEM RIO BRANCO,ARB RESTAURANTE LTDA.,50030310,-8.0628857,-34.8729563,RECIFE,"AVENIDA RIO BRANCO, 155"
ARRIBAR,SPITI RESTAURANTE LTDA,51030530,-8.1351733,-34.9081199,SETUBAL/BOA VIAGEM,"RUA DO HORIZONTE, S/N"
ARSENAL DO SABOR,RESTAURANTE MELLO LTDA,50030210,-8.0613809,-34.8718857,RECIFE,"RUA DA GUIA, 165"
ASTECA SUSHI,PREMIUM SUSHI RESTAURANTE LTDA,51020021,-8.1172943,-34.8951035,BOA VIAGEM,"AVENIDA CONS AGUIAR, 3197"
ATLANTICO EXPRESS,EXPRESS ATLANTICO LTDA,51020280,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
AUGUSTO'S,AUGUSTO'S COMERCIO DE ALIMENTOS LTDA,50110000,-8.0392095,-34.8762274,SANTO AMARO,"AVENIDA GOV. AGAMENON MAGALHAES, 153"
AURORA NORDESTINA,AURORA ALIMENTOS LTDA,50040180,-8.0507741,-34.8755601,SANTO AMARO,"RUA DOIS DE JULHO, 80"
AURORA NORDESTINA,AURORA SERVICOS ALIMENTICIOS LTDA,50040180,-8.0507741,-34.8755601,SANTO AMARO,"RUA DOIS DE JULHO, 80"
AURORA NORDESTINA DELICATESSEN,AURORA NORDESTINA ALIMENTOS LTDA,50040180,-8.0507741,-34.8755601,SANTO AMARO,"RUA DOIS DE JULHO, 80"
AURORA NORDESTINA X,ANX ALIMENTOS LTDA,50040180,-8.0507741,-34.8755601,SANTO AMARO,"RUA DOIS DE JULHO, 80"
BABA REFEICOES,BABA MBAYE,52130386,-8.0064968,-34.8939815,BEBERIBE,"RUA VITORIANA, 126"
BABYLON STATION,CHOPP STATION - BAR E BURGUERIA LTDA,52060410,-8.0387032,-34.9137822,SANTANA,"RUA NESTOR SILVA, 162"
BABYLON STATION,CHOPP STATION - BAR E BURGUERIA LTDA,50030030,-8.0649155,-34.8738084,RECIFE,"RUA ALFANDEGA, 35"
BADALU,LUANA DE SOUZA COMERCIO DE BEBIDAS LTDA,51190660,-8.1141976,-34.9190938,IPSEP,"AVENIDA SALDANHA MARINHO, 86"
BAGUETES BRASA & BURGUER,BRASA & BURGUER LTDA,50710001,-8.0443698,-34.9077446,TORRE,"RUA JOSE BONIFACIO, 747"
"BAKER, BURGER & BEER",BAKER BAR E RESTAURANTE LTDA,52060270,-8.0334509,-34.9122694,PARNAMIRIM,"RUA PROFESSOR ANDRADE BEZERRA, 16"
BAR & COMEDORIA DO GILMAR & TERCEIRIZAC,SILVANA CARLA TERTULIANO DA SILVA,51010610,-8.0874326,-34.8825231,PINA,"PRACA ABELARDO BALTAR, 42"
